Đối tác,Số dự án cấp mới,Vốn đăng ký cấp mới (triệu USD),Số lượt dự án điều chỉnh,Vốn đăng ký điều chỉnh (triệu USD),Số lượt góp vốn mua cổ phần,"Giá trị góp vốn, mua cổ phần (triệu USD)",Năm
Bắc Ninh,133.0,149.6,103.0,3500.2,0.0,0.0,2015
TP. Hồ Chí Minh,570.0,2811.7,199.0,512.3,0.0,0.0,2015
Bình Dương,200.0,2465.8,95.0,487.0,0.0,0.0,2015
Trà Vinh,2.0,2526.8,0.0,0.0,0.0,0.0,2015
Đồng Nai,103.0,1471.9,71.0,475.1,0.0,0.0,2015
Hà Nội,352.0,910.7,84.0,177.7,0.0,0.0,2015
Hải Phòng,45.0,573.1,26.0,237.7,0.0,0.0,2015
Bà Rịa - Vũng Tàu,11.0,326.3,13.0,406.1,0.0,0.0,2015
Long An,119.0,308.7,42.0,268.4,0.0,0.0,2015
Tây Ninh,16.0,502.9,5.0,25.3,0.0,0.0,2015
Hải Dương,28.0,269.9,19.0,137.3,0.0,0.0,2015
Bắc Giang,51.0,223.2,22.0,182.9,0.0,0.0,2015
Quảng Ninh,10.0,373.9,4.0,18.4,0.0,0.0,2015
Vĩnh Phúc,34.0,273.2,16.0,104.4,0.0,0.0,2015
Hà Nam,34.0,288.1,15.0,50.4,0.0,0.0,2015
Hưng Yên,34.0,270.1,15.0,59.6,0.0,0.0,2015
Bình Phước,21.0,91.9,11.0,164.4,0.0,0.0,2015
Quảng Nam,18.0,178.9,5.0,77.3,0.0,0.0,2015
Thái Nguyên,23.0,188.9,8.0,22.3,0.0,0.0,2015
Nghệ An,15.0,196.5,2.0,9.8,0.0,0.0,2015
Bến Tre,2.0,157.4,2.0,1.2,0.0,0.0,2015
Hà Tĩnh,9.0,116.0,1.0,41.3,0.0,0.0,2015
Thừa Thiên Huế,7.0,78.1,3.0,61.9,0.0,0.0,2015
Phú Thọ,12.0,87.6,4.0,5.6,0.0,0.0,2015
Tiền Giang,7.0,55.1,5.0,37.0,0.0,0.0,2015
Yên Bái,2.0,78.7,0.0,0.0,0.0,0.0,2015
Nam Định,13.0,67.2,1.0,11.0,0.0,0.0,2015
An Giang,8.0,67.2,1.0,1.6,0.0,0.0,2015
Bình Định,6.0,43.1,4.0,14.3,0.0,0.0,2015
Khánh Hòa,6.0,53.6,2.0,2.1,0.0,0.0,2015
Thái Bình,8.0,49.6,0.0,0.0,0.0,0.0,2015
Đà Nẵng,58.0,52.5,15.0,-8.3,0.0,0.0,2015
Thanh Hóa,7.0,44.0,0.0,0.0,0.0,0.0,2015
Ninh Bình,7.0,37.7,4.0,5.4,0.0,0.0,2015
Phú Yên,4.0,50.0,1.0,-10.0,0.0,0.0,2015
Kiên Giang,2.0,33.0,0.0,0.0,0.0,0.0,2015
Đăk Lăk,3.0,20.8,1.0,10.0,0.0,0.0,2015
Quảng Bình,3.0,12.2,1.0,15.4,0.0,0.0,2015
Bình Thuận,1.0,0.0,4.0,26.5,0.0,0.0,2015
Hậu Giang,0.0,0.0,1.0,25.0,0.0,0.0,2015
Quảng Ngãi,6.0,24.1,0.0,0.0,0.0,0.0,2015
Cần Thơ,5.0,17.9,0.0,0.0,0.0,0.0,2015
Vĩnh Long,4.0,12.8,0.0,0.0,0.0,0.0,2015
Đồng Tháp,1.0,0.2,2.0,10.2,0.0,0.0,2015
Lâm Đồng,5.0,7.6,1.0,1.5,0.0,0.0,2015
Sóc Trăng,1.0,6.0,0.0,0.0,0.0,0.0,2015
